id;article;name;size_type;size_grid_name;product_type_name;description;patterns_path;constructor_name;patterns_created_on;default_routing_code;assembly_variant_ids;routing_template_ids;photo_paths;photo_urls;status;created_at;updated_at
31;212.6;Футболка;men;Мужская (Mosmade);Футболка;О-образ составной с бок встав, рукав Реглан, короткий составной;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
32;212.7;Футболка;men;Мужская (Mosmade);Футболка;О-образ цельная, рукав Реглан, короткий составной;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
33;212.8;Футболка;men;Мужская (Mosmade);Футболка;V-образ цельная, рукав Реглан, короткий;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
34;212.9;Футболка;men;Мужская (Mosmade);Футболка;;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
35;212.10;Футболка;men;Мужская (Mosmade);Футболка;V-образ цельная, рукав Реглан, короткий с манжетами;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
36;212.9;Футболка;men;Мужская (Mosmade);Футболка;О-образ с бок встав, рукав Реглан, короткий;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
37;211.1;Футболка;men;Мужская (Mosmade);Футболка;Футбольная ф-ка, ACHE, О-обр, Базовая модель, с боковой вставкой;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
38;211.3;Футболка;men;Мужская (Mosmade);Футболка;Футбольная ф-ка, ACHE, О-обр, Базовая модель,кор. рукав с манжетой, с боковой вставкой;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
39;212.1;Футболка;men;Мужская (Mosmade);Футболка;Футбольная ф-ка, ACHE, V-обр, Базовая модель, кор. рукав, с боковой вставкой;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
40;211.2;Футболка;men;Мужская (Mosmade);Футболка;Футбольная ф-ка, ACHE, О-обр, Базовая модель, дл. рукав с боковой вставкой;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
